"id"|"id_auteur"|"titre"|"genre"|"actes"|"prose_vers"|"prologue"|"musique_danse_machine"|"titre_alternatif"|"date_de_creation"
18|{1}|Démocrite amoureux|comédie|5|vers|false|false||1700-01-12
1345|{19}|Trois frères rivaux (Les)|comédie|1|vers|false|false||1713-08-04
1346|{20}|Triple mariage (Le)|comédie|1|prose|false|true||1716-07-07
1350|{21}|Esprit de contradiction (L')|comédie|1|prose|false|false||1700-08-27
4834|{31}|Absalon|tragédie|5|vers|false|false||1712-04-07
4836|{5}|Adélaïde du Guesclin|tragédie|5|vers|false|false||1734-01-18
4842|{37}|Agrippa, roi d'Albe  /  le Faux Tiberinus (titre alt.)  / Tiberinus (titre alt.)|tragi-comédie|5|vers|false|false||
4849|{5}|Alzire ou les Américains|tragédie|5|vers|false|false||1736-01-27
4851|{45}|Amasis|tragédie|5|vers|false|false||1701-12-13
4856|{49}|Amour pour amour|comédie|3|vers|true|true||1742-02-16
4857|{2}|Amphitryon|comédie|3|vers libres|true|true||
4858|{15}|Andromaque|tragédie|5|vers|false|false||
4859|{50}|Andronic|tragédie|5|vers|true|false||1685-02-08
4860|{51}|Annibal /  La Mort d'Annibal (titre alt.)|tragédie|5|vers|false|true||1720-12-16
4865|{56}|Ariane|tragédie|5|vers|false|false||
4869|{37}|Astrate, roi de Tyr|tragédie|5|vers|false|false||
4872|{15}|Athalie|tragédie|5|vers|false|true||1691-01-05
4873|{63}|Antoine et Cléopâtre|tragédie|5|vers|false|false||1741-11-06
4874|{64}|Atrée et Thyeste|tragédie|5|vers|false|false||1707-03-14
4875|{21}|Attendez-moi sous l’orme|comédie|1|prose|false|true||1694-05-19
4879|{15}|Bajazet|tragédie|5|vers|false|false||
4881|{15}|Bérénice|tragédie|5|vers|false|false||
4885|{15}|Britannicus|tragédie|5|vers|false|false||
4886|{5}|Brutus|tragédie|5|vers|false|false||1730-12-11
4894|{71}|Cinna ou la Clémence d'Auguste|tragédie|5|vers|false|false||
4897|{14}|Colin-Maillard|comédie|1|prose|false|true||1701-10-28
4903|{76}|Crispin bel esprit|comédie|1|vers|false|false||1681-07-11
4904|{77}|Crispin médecin|comédie|3|vers|false|false||
4907|{79}|Crispin rival de son maître|comédie|1|prose|false|false||1707-03-15
4911|{81}|Deucalion et Pirrha|comédie|1|prose|true|true||1741-02-20
4912|{82}|Didon|tragédie|5|vers|false|false||1734-06-21
4914|{83}|Don Japhet d'Arménie|comédie|5|vers|false|true||
4915|{84}|Dom Pasquin d'Avalos|intermède|1|vers|false|false||
4916|{71}|Don Sanche d'Aragon|comédie héroïque|5|vers|false|false||
4922|{64}|Électre|tragédie|5|vers|false|false||1708-12-14
4926|{89}|Ésope à la cour|comédie héroïque|5|vers|true|false||1701-12-16
4932|{2}|George Dandin ou le Mari confondu|comédie|3|prose|false|true||
4934|{91}|Gustave Wasa|tragédie|5|vers|false|false||1733-02-03
4937|{71}|Héraclius, empereur d'Orient|tragédie|5|vers|false|false||
4940|{5}|Hérode et Mariamne ;  Mariamne (titre initial)|tragédie|5|vers|false|false||1725-04-10
4943|{71}|Horace / Les Horaces (titre alt.)|tragédie|5|vers|false|false||
4946|{97}|Hypermnestre|tragédie|5|vers|false|false||1704-02-13
4948|{98}|Inès de Castro|tragédie|5|vers|false|false||1723-04-06
4949|{45}|Ino et Mélicerte|tragédie|5|vers|false|false||1713-03-10
4950|{15}|Iphigénie ou Iphigénie en Aulide|tragédie|5|vers|false|false||
4958|{83}|Jodelet, ou le Maître valet|comédie|5|vers|false|false||
4965|{}|Cavalcade (La)|divertissement|1|""|false|true||1737-11-22
4968|{2}|Comtesse d'Escarbagnas (La)|comédie|1|prose|false|true||
4969|{56}|Comtesse d'Orgueil (La) / Le Marquis de Lorgnac (titre alt.)|comédie|5|vers|false|false||1653-01-28
4971|{21}|Coquette de village ou le Lot supposé (La)|comédie|3|vers|false|false||1715-05-27
4972|{109}|Coquette et la fausse prude (La)|comédie|5|prose|false|false||1686-12-28
4973|{111,110}|Coupe enchantée (La)|comédie|1|prose|false|false||1688-07-16
4978|{115}|Famille extravagante (La)|comédie|1|vers|false|true||1709-06-07
4980|{49}|Fausse antipathie (La)|comédie|3|vers|true|false||1733-10-02
4985|{84}|Femme juge et partie (La) / Femme juge (La) (titre alt.)|comédie|5|vers|false|false||
4987|{14}|Fête de village ou les Bourgeoises de qualité (La)|comédie|3|prose|false|true||1700-07-13
4989|{84}|Fille capitaine (La)|comédie|5|vers|false|false||
4991|{115}|Foire de Saint-Laurent (La)|comédie|1|vers|false|true||1709-09-20
5001|{125}|Magie de l'Amour (La)|comédie-pastorale|1|vers libres|false|true||1735-05-09
5002|{14}|Maison de campagne (La)|comédie|1|prose|false|false||1688-08-27
5006|{37}|Mère coquette ou les Amants brouillés (La)|comédie|5|vers|false|false||
5008|{115}|Métamorphose amoureuse (La)|comédie|1|prose|false|false||1712-08-06
5010|{91}|Métromanie ou le Poète (La)|comédie|5|vers|false|false||1738-01-10
5012|{5}|Mort de César (La)|tragédie|3|vers|false|false||1743-08-29
5014|{71}|Mort de Pompée (La)|tragédie|5|vers|false|false||
